0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
36932.0,46832.0,46382.0,29732.0,19832.0,33332.0,30182.0,16682.0,10382.0,12182.0,38282.0,30632.0,11282.0,36032.0,18032.0,9482.0,,
48182.0,46832.0,45032.0,41882.0,23432.0,32432.0,31082.0,11732.0,10382.0,12182.0,31082.0,30632.0,36032.0,23432.0,26582.0,9482.0,,
48182.0,46382.0,45032.0,41882.0,23432.0,32432.0,113432.0,11732.0,7232.0,66182.0,50432.0,36032.0,31982.0,28382.0,20732.0,14432.0,,
46832.0,44132.0,41882.0,36482.0,23432.0,32432.0,33332.0,11732.0,7232.0,67532.0,26582.0,13982.0,17582.0,22532.0,27482.0,11732.0,,
83282.0,44132.0,41612.0,36482.0,23432.0,27032.0,26132.0,12632.0,9032.0,64832.0,22532.0,46382.0,23432.0,26132.0,35582.0,11732.0,,
58532.0,44132.0,23882.0,28112.0,19382.0,39632.0,12182.0,15782.0,8582.0,10832.0,22082.0,34682.0,24332.0,14432.0,16232.0,11732.0,,
62582.0,28382.0,35132.0,27032.0,21182.0,38732.0,28382.0,29732.0,8132.0,35132.0,15332.0,27032.0,27032.0,13532.0,13082.0,18932.0,,
62132.0,48182.0,34772.0,30632.0,18932.0,38732.0,78782.0,36932.0,7952.0,31082.0,20732.0,17132.0,21182.0,16232.0,43232.0,41432.0,,
62132.0,34232.0,34682.0,21632.0,18932.0,38732.0,10832.0,48632.0,10832.0,18752.0,20732.0,28832.0,21182.0,43232.0,39182.0,52682.0,,
57632.0,34232.0,31532.0,20732.0,17582.0,30632.0,15332.0,23432.0,10382.0,22982.0,34682.0,29732.0,21182.0,33332.0,13982.0,52232.0,,
27032.0,34232.0,30182.0,20732.0,17582.0,30632.0,19382.0,60332.0,9932.0,21182.0,34232.0,16682.0,21182.0,24332.0,53132.0,52232.0,,
29732.0,23072.0,30182.0,23882.0,22982.0,30632.0,16232.0,18032.0,17132.0,22982.0,74732.0,13982.0,21182.0,29732.0,45482.0,51332.0,,
29732.0,23072.0,30182.0,43682.0,26582.0,30632.0,28832.0,18032.0,19832.0,22982.0,36932.0,34232.0,24782.0,18032.0,44132.0,9032.0,,
28832.0,50792.0,34232.0,42782.0,26582.0,29732.0,28832.0,18032.0,15332.0,22982.0,21182.0,18932.0,24782.0,41432.0,44132.0,16682.0,,
28832.0,50432.0,32882.0,42782.0,24692.0,29552.0,21632.0,22982.0,30632.0,11282.0,41432.0,34232.0,27932.0,13532.0,44132.0,14432.0,,
28832.0,58532.0,28832.0,45482.0,59432.0,28382.0,80582.0,14792.0,11282.0,15512.0,17132.0,37832.0,27932.0,32432.0,36932.0,21632.0,,
35582.0,42332.0,28562.0,38732.0,59432.0,70232.0,47282.0,15332.0,11282.0,10832.0,16232.0,36932.0,27932.0,29732.0,32432.0,28832.0,,
35132.0,49532.0,71132.0,37832.0,69782.0,42332.0,46832.0,45032.0,10832.0,9482.0,27482.0,12182.0,27032.0,61232.0,42332.0,9932.0,,
,49532.0,90032.0,51332.0,49982.0,111632.0,16682.0,13982.0,10832.0,10382.0,34232.0,12182.0,25232.0,34232.0,18482.0,17582.0,,
,49532.0,90032.0,29732.0,61232.0,69782.0,27032.0,64832.0,10832.0,9482.0,27932.0,11282.0,8132.0,29732.0,27932.0,25232.0,,
,49532.0,26852.0,27932.0,35492.0,65282.0,20732.0,12632.0,46382.0,20282.0,27032.0,58532.0,26582.0,29732.0,18482.0,19832.0,,
,49532.0,26852.0,40082.0,44582.0,27032.0,18482.0,12632.0,14882.0,21632.0,10832.0,31532.0,25232.0,12182.0,17582.0,32432.0,,
,49532.0,25682.0,39632.0,18932.0,22532.0,22082.0,7682.0,21992.0,11732.0,16232.0,13982.0,27932.0,26132.0,24332.0,26582.0,,
,22532.0,52232.0,35582.0,18932.0,22082.0,21182.0,12182.0,21632.0,10382.0,22532.0,13082.0,18032.0,20732.0,33332.0,24332.0,,
,34682.0,45482.0,39182.0,18932.0,20282.0,21182.0,14882.0,6332.0,10382.0,38732.0,,13082.0,63032.0,27032.0,,,
,34232.0,20732.0,36932.0,18932.0,44132.0,20282.0,15782.0,50432.0,10382.0,38732.0,,12632.0,63032.0,27932.0,,,
,32882.0,54482.0,22082.0,18932.0,26762.0,44132.0,15692.0,8582.0,24782.0,94532.0,,12182.0,61232.0,36032.0,,,
,32882.0,46382.0,33332.0,18932.0,44132.0,20192.0,18032.0,8582.0,22532.0,13982.0,,12182.0,13982.0,31532.0,,,
,32882.0,39182.0,33332.0,18932.0,24782.0,21632.0,67982.0,14882.0,17132.0,13982.0,,19382.0,36032.0,22532.0,,,
,32882.0,39182.0,44132.0,18932.0,24782.0,20282.0,9032.0,13532.0,17132.0,41432.0,,13532.0,36032.0,31532.0,,,
,47732.0,39632.0,28112.0,18932.0,24782.0,29282.0,14612.0,46832.0,9932.0,20282.0,,28382.0,40532.0,21632.0,,,
,47732.0,25232.0,28112.0,18932.0,48182.0,37382.0,31982.0,46832.0,9932.0,29732.0,,28382.0,41432.0,65732.0,,,
,29732.0,48182.0,27032.0,80132.0,47732.0,22982.0,15782.0,15782.0,9932.0,12632.0,,28382.0,41432.0,65732.0,,,
,29732.0,41432.0,24782.0,4982.0,45032.0,22982.0,24782.0,15782.0,9932.0,48632.0,,23882.0,40532.0,63032.0,,,
,41882.0,36932.0,37382.0,10382.0,43232.0,22532.0,12632.0,15782.0,20732.0,24332.0,,13082.0,8582.0,58532.0,,,
,65732.0,55832.0,37382.0,30182.0,50432.0,22532.0,12632.0,15332.0,25232.0,18032.0,,33332.0,9032.0,58532.0,,,
,61232.0,83282.0,36482.0,8582.0,47732.0,20732.0,17132.0,9482.0,16772.0,14432.0,,15332.0,14432.0,58532.0,,,
,56282.0,83282.0,36482.0,36932.0,44132.0,36032.0,,27032.0,11282.0,14432.0,,9932.0,31532.0,57632.0,,,
,69332.0,43682.0,38282.0,36932.0,44132.0,35582.0,,23432.0,19382.0,18032.0,,25682.0,16682.0,57632.0,,,
,29732.0,22082.0,43232.0,36932.0,32882.0,25232.0,,15692.0,8582.0,41882.0,,15332.0,16682.0,57632.0,,,
,29732.0,33332.0,29732.0,36932.0,32882.0,22532.0,,6332.0,18482.0,15782.0,,11732.0,19832.0,53132.0,,,
,39182.0,33332.0,31982.0,37832.0,32882.0,17582.0,,10832.0,9482.0,51332.0,,50432.0,42332.0,31532.0,,,
,39182.0,42782.0,31982.0,34682.0,32882.0,17312.0,,8132.0,25232.0,45932.0,,26582.0,34232.0,27032.0,,,
,38732.0,52592.0,35132.0,34682.0,28382.0,38282.0,,12632.0,16232.0,18032.0,,29732.0,23882.0,14432.0,,,
,31532.0,47282.0,40982.0,34682.0,16232.0,40982.0,,15332.0,16232.0,12632.0,,28832.0,15782.0,42332.0,,,
,44132.0,27032.0,40982.0,34682.0,40532.0,23882.0,,18482.0,22982.0,14432.0,,28832.0,15332.0,36032.0,,,
,40982.0,27032.0,40982.0,36032.0,40532.0,23882.0,,13982.0,25232.0,,,28382.0,13532.0,53132.0,,,
,29732.0,27032.0,40982.0,36032.0,40532.0,22982.0,,13082.0,16232.0,,,28382.0,27932.0,53132.0,,,
,26582.0,27032.0,40982.0,28382.0,40532.0,20282.0,,11282.0,42332.0,,,28382.0,46832.0,41432.0,,,
,29282.0,25682.0,,49532.0,22532.0,20282.0,,7232.0,8582.0,,,25232.0,27932.0,28832.0,,,
,70682.0,25682.0,,46382.0,22532.0,29282.0,,10112.0,13532.0,,,25232.0,17132.0,19382.0,,,
,39632.0,90032.0,,34232.0,35132.0,29282.0,,9932.0,31982.0,,,23882.0,87332.0,13082.0,,,
,33.8,90032.0,,34232.0,35132.0,29282.0,,14432.0,31982.0,,,18032.0,80132.0,33332.0,,,
,102632.0,90032.0,,34232.0,44582.0,31532.0,,14162.0,7232.0,,,15332.0,80132.0,33332.0,,,
,65282.0,90032.0,,46832.0,35582.0,15332.0,,13982.0,9932.0,,,18482.0,79232.0,33332.0,,,
,58082.0,90032.0,,51782.0,48182.0,13532.0,,13982.0,9932.0,,,7232.0,77432.0,31532.0,,,
,28382.0,39182.0,,43232.0,20282.0,13532.0,,11282.0,9932.0,,,35132.0,27032.0,35132.0,,,
,25232.0,29732.0,,25232.0,15332.0,13532.0,,22532.0,31532.0,,,15332.0,19832.0,48632.0,,,
,25232.0,28832.0,,51782.0,31982.0,24782.0,,16232.0,9482.0,,,12182.0,18032.0,38732.0,,,
,32972.0,30632.0,,32432.0,51782.0,24782.0,,12182.0,14612.0,,,12182.0,17582.0,36482.0,,,
,39632.0,34592.0,,32432.0,24782.0,12632.0,,12182.0,14432.0,,,25232.0,15332.0,32432.0,,,
,39632.0,34412.0,,24782.0,24782.0,45032.0,,12182.0,14432.0,,,29732.0,24332.0,27932.0,,,
,39632.0,31982.0,,28832.0,42332.0,44132.0,,12182.0,25682.0,,,27032.0,20732.0,17132.0,,,
,39632.0,31982.0,,37382.0,42332.0,20282.0,,12182.0,19832.0,,,16682.0,23882.0,23882.0,,,
,36932.0,41612.0,,37382.0,47282.0,20282.0,,12182.0,25232.0,,,30632.0,37832.0,17132.0,,,
,75632.0,41882.0,,36032.0,30632.0,18932.0,,10832.0,29282.0,,,22982.0,22982.0,45032.0,,,
,71582.0,47732.0,,36032.0,26132.0,21182.0,,10832.0,31982.0,,,41432.0,31082.0,45032.0,,,
,54032.0,,,36032.0,27032.0,21182.0,,10832.0,34232.0,,,21182.0,15332.0,43232.0,,,
,52682.0,,,78332.0,27032.0,21182.0,,10832.0,16232.0,,,24332.0,,20732.0,,,
,52232.0,,,27482.0,26132.0,22982.0,,10832.0,7682.0,,,12182.0,,21182.0,,,
